ID_name	MetaPopulation	Population	color	reg.shape	size	fill
I1409	Armenia_Chl	Armenia_Chl	black	23	1.4	#ee82b8
I1631	Armenia_Chl	Armenia_Chl	black	23	1.4	#ee82b8
I1632	Armenia_Chl	Armenia_Chl	black	23	1.4	#ee82b8
I1634	Armenia_Chl	Armenia_Chl	black	23	1.4	#ee82b8
Kotias	CHG	CHG	black	21	1.4	#ee82b8
Satsurblia	CHG	CHG	black	21	1.4	#ee82b8
I9123	Greece_N	Crete_Armenoi	black	22	1.4	#0073e6
Klei10	Greece_N	Greece_Klei10	black	22	1.4	#0073e6
Pal7	Greece_N	Greece_Pal7	black	22	1.4	#0073e6
I2318	Greece_N	Greece_Peloponnese_N	black	22	1.4	#0073e6
I2937	Greece_N	Greece_Peloponnese_N	black	22	1.4	#0073e6
I3708	Greece_N	Greece_Peloponnese_N	black	22	1.4	#0073e6
I3709	Greece_N	Greece_Peloponnese_N	black	22	1.4	#0073e6
I3920	Greece_N	Greece_Peloponnese_N	black	22	1.4	#0073e6
I5427	Greece_N	Greece_Peloponnese_N	black	22	1.4	#0073e6
Rev5	Greece_N	Greece_Rev5	black	22	1.4	#0073e6
I1661	Iran_Chl	Iran_SehGabi_Chl	black	23	1.4	#9e346f
I1662	Iran_Chl	Iran_SehGabi_Chl	black	23	1.4	#9e346f
I1665	Iran_Chl	Iran_SehGabi_Chl	black	23	1.4	#9e346f
I1670	Iran_Chl	Iran_SehGabi_Chl	black	23	1.4	#9e346f
I1674	Iran_Chl	Iran_SehGabi_Chl	black	23	1.4	#9e346f
I1293	Iran_N	Iran_HotuIIIb	black	22	1.4	#9e346f
I11456	Iran_BA2 	Iran_Shahr_I_Sokhta_BA2 black	black	24	1.4	#9e346f
I11458	Iran_BA2 	Iran_Shahr_I_Sokhta_BA2 black	black	24	1.4	#9e346f
I11459	Iran_BA2 	Iran_Shahr_I_Sokhta_BA2 black	black	24	1.4	#9e346f
F38	Iran_IA	Iran_IA	black	25	1.4	#9e346f
